,pop%,actinopterygii%,anura%,chelonia%,crocodylidae%,squamata%,aves%,insectivora%,chiroptera%,primates%,rodentia%,lagomorpha%,canidae%,mustelidae%,viverridae%,hyaenidae%,felidae%,proboscidea%,hyracoidea%,equidae%,chaclicotheriidae%,rhinocerotidae%,suidae%,hippopotamidae%,giraffidae%,bovidae%
bed_1l,100,3.703703704,5.555555556,1.851851852,5.555555556,12.96296296,3.703703704,0,0,5.555555556,1.851851852,0,1.851851852,1.851851852,1.851851852,3.703703704,3.703703704,3.703703704,1.851851852,1.851851852,1.851851852,1.851851852,9.259259259,1.851851852,5.555555556,18.51851852
bed_1m,100,3.896103896,7.792207792,2.597402597,2.597402597,12.98701299,1.298701299,7.792207792,1.298701299,3.896103896,10.38961039,1.298701299,3.896103896,0,5.194805195,2.597402597,1.298701299,1.298701299,0,2.597402597,0,1.298701299,6.493506494,1.298701299,3.896103896,14.28571429
bed_1u,100,0,10,1.428571429,2.857142857,8.571428571,0,10,2.857142857,0,15.71428571,1.428571429,2.857142857,0,7.142857143,2.857142857,1.428571429,2.857142857,0,2.857142857,0,1.428571429,4.285714286,1.428571429,4.285714286,15.71428571
bed_2l,100,0,2.857142857,2.857142857,8.571428571,2.857142857,2.857142857,2.857142857,0,2.857142857,2.857142857,0,0,0,2.857142857,0,8.571428571,5.714285714,0,5.714285714,0,2.857142857,8.571428571,2.857142857,8.571428571,25.71428571
bed_2m,100,4.347826087,2.173913043,2.173913043,6.52173913,0,2.173913043,0,0,2.173913043,2.173913043,0,2.173913043,0,2.173913043,0,4.347826087,2.173913043,0,4.347826087,0,4.347826087,15.2173913,2.173913043,6.52173913,34.7826087
bed_2u,100,4.166666667,2.083333333,2.083333333,4.166666667,6.25,2.083333333,2.083333333,0,4.166666667,0,0,2.083333333,0,0,2.083333333,4.166666667,2.083333333,0,4.166666667,0,4.166666667,16.66666667,4.166666667,6.25,27.08333333
bed_3,100,2.777777778,2.777777778,2.777777778,2.777777778,0,5.555555556,0,0,2.777777778,0,2.777777778,2.777777778,2.777777778,0,2.777777778,2.777777778,2.777777778,0,5.555555556,0,2.777777778,5.555555556,2.777777778,2.777777778,44.44444444
bed_4l,100,6.25,0,6.25,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,12.5,12.5,6.25,12.5,18.75
bed_4m,100,3.125,3.125,3.125,3.125,0,6.25,0,0,3.125,31.25,0,0,0,3.125,0,3.125,3.125,0,6.25,0,6.25,9.375,3.125,6.25,6.25
bed_4u,100,2.702702703,2.702702703,2.702702703,2.702702703,0,5.405405405,0,0,5.405405405,5.405405405,2.702702703,0,0,2.702702703,0,0,2.702702703,0,5.405405405,0,5.405405405,13.51351351,2.702702703,8.108108108,29.72972973
bed_m,100,5,0,5,5,0,10,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,15,5,0,30
