age_ma,carb_c13,carb_o18
0.435,-1.6,-2
0.45,-1.5,-1.3
0.475,-2.6,-3
0.48,-2.9,-2.6
0.51,-1.5,-1.5
0.52,-2.3,-2.7
0.55,-0.5,0.6
0.56,-1.6,-2.7
0.565,-0.2,0.1
0.5803,-0.5,0.8
0.58,-0.6,-1.3
0.59,-1.9,-1.6
0.6,-1.3,-0.7
0.64,-2.3,-2.6
0.65,-3.6,-3.4
0.68,-2.6,-3.2
0.725,-3.6,-3
0.76,-3,-2.9
0.84,-3.2,-3
0.95,-3.2,-3.1
1,1.2,1
1.0003,1.3,0.8
1.06,-2.4,-2.6
1.0603,-1.9,-2.8
1.18,-1.1,-3.4
1.19,-3.9,-4.2
1.1903,-2.7,-5
1.2,-0.5,-3.3
1.2003,-1,-2.6
1.215,-2.2,-5.2
1.22,-3,-3.4
1.235,-2.7,-4.5
1.24,-4.1,-5.1
1.26,-1.3,-3
1.27,-2.7,-5.3
1.2703,-2.1,-4.7
1.275,-2.3,-4
1.28,-2.5,-5.8
1.2803,-4.8,-6
1.29,-4.1,-4.4
1.295,-2.5,-2.8
1.295,-6.3,-5.7
1.3003,-6,-5.4
1.3,-3.7,-5.5
1.3105,-3.6,-4.3
1.31,-4,-4.6
1.32,-3.1,-5.6
1.34,-6,-5.1
1.3403,-5.5,-6.4
1.35,-7,-5.8
1.3603,-4.5,-5.3
1.36,-4.2,-4.5
1.38,-7.8,-4.5
1.3803,-6.9,-5.8
1.4,-7.1,-5.6
1.4003,-7.1,-6.7
1.4303,-7.3,-6
1.43,-6.9,-5.4
1.53,-2.5,-4.9
1.62,-6,-4.7
1.63,-5.6,-3.5
1.635,-4,-2.5
1.6353,-4.8,-5
1.645,-7.3,-6.5
1.65,-1.1,-4.3
1.6503,-4.1,-4.5
1.6505,-4.4,-4.3
1.655,-1.9,-1.8
1.66,-0.6,-3.2
1.6603,-3.9,-5
1.6605,-2.3,-3.4
1.6607,-6.8,-5.1
1.665,-4.5,-4.1
1.67,-4.3,-3.8
1.675,-3.9,-4.4
1.68,-4.8,-4.8
1.685,-5.7,-5.1
1.69,-3.9,-5.3
1.695,-0.9,-5.4
1.6955,-4.1,-6
1.705,-3.3,-6.3
1.72,-3.9,-5.3
1.725,-3.7,-5.3
1.73,-5.5,-7.1
1.74,-5.8,-6.5
1.8,6.3,-2.1
1.82,-5.7,-6.2
1.97,6.9,0.1
1.971,6.2,-1.3
1.972,6.8,-1
2,-4.2,-5.5
2.1,-4.4,-5.5
2.2,-5,-5.5
